date,오이도,정왕,신길온천,안산,초지,고잔,중앙,한대앞,상록수,반월,대야미,수리산,산본,금정,범계,평촌,인덕원,정부과천청사,과천,대공원,경마공원,선바위,남태령,사당,총신대입구,동작,이촌,신용산,삼각지,숙대입구,서울역,회현,명동,충무로,동대문역사문화공원,동대문,혜화,한성대입구,성신여대입구,길음,미아사거리,미아,수유,쌍문,창동,노원,상계,당고개
2019-02-21,21446,16710,3503,28523,9300,19203,39925,20166,44480,10109,9485,8605,42454,60101,64878,41871,58781,26636,10958,6809,4993,19338,3029,60815,50732,5454,22329,39952,12824,34829,42663,71863,78619,74345,46676,57771,87608,32528,55853,50194,64076,36080,83804,70311,66842,52158,44860,27368
2019-02-22,22195,18698,3679,29356,7491,19300,42167,19170,43962,10022,9702,8846,44359,63249,68944,41936,61597,27099,11311,7019,17520,20461,3271,66071,53484,5218,22978,42340,13556,34408,45835,73302,83463,74752,48590,58744,92673,34016,54867,50721,66352,37023,88255,71540,69505,55444,45378,28286
2019-02-23,20034,15095,3253,27902,5946,17566,40013,15568,37418,8722,8003,6652,35685,48783,57500,26216,43690,16074,9463,13570,29656,13744,2951,55862,41422,4785,24106,27653,9648,25805,34701,64314,81272,45913,41750,48627,93636,28120,45132,39891,57905,34454,70790,55466,55457,47542,35323,23736
2019-02-24,16037,13291,2558,28381,4207,12464,29966,11346,29363,6665,6162,5363,25776,37836,40822,17731,32075,19767,7257,11540,38571,9727,1826,40974,29932,3490,19424,20251,7188,22292,25466,28964,67115,28165,32978,25918,73259,22032,33568,28159,40574,22007,52788,41761,41209,36391,26625,19177
2019-02-25,21438,16731,3500,29094,8645,18995,38506,18141,42791,9859,9496,8866,41676,59157,63505,40486,57881,26702,10447,5703,2086,18805,2853,58030,49621,5215,20709,38251,12217,35839,41476,71220,76881,72527,45492,58003,88333,31982,51141,49964,62522,35456,83235,69943,65314,51293,44283,26825
2019-02-26,21497,19060,3651,28734,7337,18857,39629,18329,43002,9948,9546,8857,42185,60134,65580,41810,58984,26495,11232,8930,2379,19320,3052,60436,50506,5537,21919,39166,12883,33450,41946,73470,78962,72982,46621,59346,89582,32945,51259,49947,63475,35879,84262,71223,65805,52761,44712,27503
2019-02-27,21223,16628,3613,28332,7392,18905,40121,18210,43436,9994,9788,8802,43563,60242,67297,41754,59062,32873,11012,8567,5321,19452,2959,60997,51475,5548,24587,40191,12903,33606,41904,72010,77588,73365,48267,58083,90965,32698,50702,50444,64799,36376,85713,70930,66936,53681,45249,27513
2019-02-28,22877,19578,3756,29821,7472,19650,43237,19609,44544,10152,10026,8762,44616,61832,67794,42105,59868,26732,10903,8747,4868,19527,3167,63597,52641,5604,22318,42382,13043,34700,46199,73843,83186,73105,49956,59804,92039,34181,54017,51497,67752,37163,87624,71933,68229,54718,46087,27661
2019-03-01,18929,13233,2907,24864,5648,12699,33046,13242,31659,7654,6919,5724,29619,40273,47204,19801,35129,12503,7696,13652,20645,11033,2109,45466,35153,4540,21060,23863,7405,21701,35449,75121,84290,38762,45903,61304,85974,24643,40466,32719,49695,24909,62447,48432,46508,41571,31376,20883
2019-03-02,18549,14414,2822,28435,5205,14011,36031,14080,33001,7850,7167,5749,31764,42168,49672,20484,36364,17926,7961,11808,30750,11411,2293,46937,36422,3940,20287,23468,7035,22391,27940,62022,78001,38077,40209,47773,83612,25828,41792,34617,51080,25977,64482,48740,48166,42450,31720,21405
2019-03-03,14516,13906,2369,29057,3844,11759,28296,11346,27611,6461,6012,4740,24374,35446,37389,15275,29122,19017,6036,8667,38490,9248,1765,37446,27792,3243,16634,18038,6119,21637,22632,26648,59801,24665,30233,24229,62767,19991,32742,26887,39403,20940,51620,39543,39346,34376,25506,17850
2019-03-04,22567,23700,3660,30306,11355,18811,40706,21680,48838,10192,9580,8930,41750,60876,62590,41048,58809,26088,10612,3548,2082,19107,3304,58216,49699,5163,17638,36198,11521,39875,37291,68545,78402,76684,42391,53851,81435,38951,56533,56724,63662,39165,85705,71030,65886,51031,46061,27607
2019-03-05,22473,23488,3651,28889,12589,19216,40215,21652,49375,10030,9689,9258,41665,61690,65517,41513,60671,26087,10780,4147,2217,19654,3462,60108,50264,4904,18142,36327,11804,40300,37697,69111,81463,77989,43040,54878,83578,39207,55240,57725,63961,39269,85300,70857,66394,50004,45862,27823
2019-03-06,22342,23289,3746,29169,11168,19426,40985,21403,48652,10145,9727,8996,41964,62096,66037,42019,60904,32193,10870,3689,3947,20085,3344,60524,50626,5103,19334,38513,12221,40753,39161,69634,88119,79660,46268,55921,87406,39650,56620,58273,64593,39344,86516,71825,67476,51552,46056,27886
2019-03-07,23643,23750,3773,29550,11229,20979,42078,22233,49874,10371,9964,9224,43441,63470,67081,42854,62526,25988,11415,5061,5174,20241,3596,62338,52753,5679,18942,39092,12631,42263,41628,74456,91324,83022,48423,58490,89832,40772,57193,59220,66046,39781,88048,72993,68310,52388,46995,29644
2019-03-08,24219,23933,3967,31112,10960,20261,45746,22107,50574,10890,10513,9267,46157,65330,71492,43609,64792,27220,11906,5925,17045,21430,3667,68936,55987,6691,19895,41768,13215,40283,45854,77227,95176,82288,51753,61339,94581,39982,60204,57570,69244,40733,91755,74118,72137,56302,48173,29236
2019-03-09,20715,16636,3178,29101,6244,17074,40399,16405,38229,9294,8475,6960,36233,49216,58578,25512,44246,18031,9711,14919,29340,14081,2836,59360,43218,4836,18283,27820,9127,27389,33373,70412,92654,48780,50612,52821,90772,28849,47145,40255,57732,29058,71697,55701,54347,47798,35626,24604
