date,신도림,대림,구로디지털단지,신대방,신림,봉천,서울대입구,낙성대,사당,방배,서초,교대,강남,역삼,선릉,삼성,종합운동장,잠실새내,잠실,잠실나루,강변,구의,건대입구,성수,뚝섬,한양대,왕십리,상왕십리,신당,동대문역사문화공원,을지로4가,을지로3가,을지로입구,시청,충정로,아현,이대,신촌,홍대입구,합정,당산,영등포구청,문래
2019-03-02,103532,49592,85187,45123,119149,37567,86940,46706,76605,24896,26084,46126,167898,43093,52045,89974,13794,41711,164526,18194,91990,35367,97753,31181,22533,12267,31540,20287,26604,39476,18782,24955,70212,21382,15290,16602,34676,92977,199101,61873,32407,25691,23941
2019-03-03,78742,47744,66545,37985,97014,29350,70169,39615,58309,18716,32337,30431,101930,29102,28717,65590,15107,30104,115204,14174,76359,26666,76101,23266,17355,8290,25590,15548,20564,29412,8326,19812,53966,13227,10256,12433,26006,69191,142391,47369,24503,18580,17260
2019-03-04,125317,65739,145946,62688,151389,54293,120234,66537,94855,52997,51162,90798,214899,125238,125509,122074,22431,54857,153244,35242,89696,55280,94502,72845,42876,37662,39845,32385,33838,37906,27135,51142,96351,56839,26894,24273,48429,103338,147654,68295,52452,54013,48411
2019-03-05,125104,65405,148261,62696,152443,54563,118692,67630,97804,54669,53587,93643,219813,127633,127860,125653,20348,53661,162599,35245,85598,55393,92044,72900,44156,38895,40020,32529,34410,38914,27309,52306,110526,59896,27244,25241,51993,103128,149871,71187,54138,54272,49119
2019-03-06,126931,65587,150751,62771,155413,54697,121088,67135,99832,54179,55705,94734,224127,130709,128830,131261,21922,54552,167224,36157,85801,56076,95172,73858,43652,37843,41451,33620,34486,41372,28076,55669,113383,60937,27063,25099,53772,106729,157519,72190,54162,55600,49295
2019-03-07,129856,67058,151340,64101,158551,55726,122632,69956,103371,55192,54173,96635,229246,128939,130357,139825,21679,56178,173912,36854,89287,56700,99971,74052,44678,37483,42584,33751,35729,44429,29192,54825,116157,61416,27414,25903,54602,110761,168435,76192,56127,56212,50242
2019-03-08,139957,69650,156082,65288,164826,56664,128004,70810,113941,53527,55252,102706,256364,132426,132409,146291,36702,61248,185728,38282,106722,58168,112650,76873,45508,32536,45467,34352,36655,48465,30173,58627,124686,63167,28001,26321,54902,122829,196599,83920,57922,56906,51182
2019-03-09,128915,57372,98804,51252,137512,42307,103620,55365,99918,33109,33267,57248,204792,55921,65806,103670,45950,50783,175668,23187,102549,40586,111082,37892,27073,15464,37515,23266,29744,49410,22332,30149,85367,28441,17305,19395,42382,111128,229141,75028,40870,31386,30351
2019-03-10,84432,50063,69794,40325,101513,30733,72699,40602,64861,20287,33480,32794,115170,31094,33220,70188,42652,32067,122526,15839,79783,28252,78906,23548,18480,8057,26127,16041,21517,32895,9558,22785,63380,22029,11025,13367,29798,76352,157772,51173,26617,18431,16319
2019-03-11,127829,67078,148403,63220,153386,55702,120499,67408,97857,53604,53354,94993,221282,131094,128576,127897,21526,54664,164653,37715,90023,55976,92793,71856,42608,38964,40524,32738,34012,41307,29009,54011,111435,59749,27040,24659,54004,105102,154020,70157,53849,55319,49357
2019-03-12,126616,65747,149322,63500,153878,55668,120101,68447,101591,55796,55880,97106,223543,129924,127972,129786,20940,54606,167616,36889,85084,55955,92569,73581,45060,40129,40465,33153,34329,40736,28202,54059,114648,61509,27289,25250,54553,106424,157745,72838,54301,54648,49060
2019-03-13,132043,66341,151298,63233,156571,55631,120873,68171,102537,54540,54730,97499,227133,129396,130155,132268,25722,55156,169379,37450,86679,56413,95701,74432,45322,39020,41474,33948,34557,42027,29045,55965,115645,60810,27335,25771,55344,108904,163573,75312,54995,54956,49565
2019-03-14,131789,66375,151020,64075,158718,56194,123108,69585,106154,55905,54823,97721,229182,129986,129720,146576,41676,56997,177123,37647,90967,56516,100683,75310,44177,38948,42091,33876,35283,43585,29014,55062,116599,61090,26949,25037,54591,111194,167692,76251,56178,55909,50124
2019-03-15,135140,65898,154280,63897,160954,56463,124699,70291,111053,53812,55325,101313,249916,134015,132620,158850,24106,61191,181314,37885,106149,57486,106363,75705,45507,33474,44967,34498,35842,45495,29392,57985,121092,62662,27925,25861,54369,116103,184658,81018,55997,55633,49942
2019-03-16,131596,54889,97235,50789,135139,41920,99945,55293,98042,30304,34579,57157,197771,53104,63588,103367,29677,48494,172516,22350,101753,40236,109605,38068,26972,16745,38111,23293,30294,44951,22211,29261,82303,29208,17486,18976,41685,107476,223084,72585,39383,32980,29607
2019-03-17,85373,47942,70922,40491,102349,30917,75229,41569,65463,20437,32736,34150,115438,32706,32641,76147,44452,39135,132657,18320,82022,30325,84087,26803,23874,8814,27278,17293,23493,35406,10704,23987,62177,17431,10988,13768,29692,75937,157626,51694,26538,19601,18107
2019-03-18,123460,67765,149102,63496,152147,55926,119092,66914,98612,53549,53011,94794,219737,127544,128692,127737,21073,54871,169090,38169,91400,55566,94819,73196,44259,38194,39482,32842,34136,40826,28512,53830,112662,59671,26928,24866,53873,100269,155902,70397,54513,54935,48847
2019-03-19,128716,67620,151225,64730,154933,56190,121220,69123,102323,55935,54735,98183,223175,130181,129147,128156,21429,55625,170559,38374,86578,56247,96134,74196,45588,39136,40204,33000,35108,44125,28662,54681,115152,61581,27217,25697,54444,105868,157614,73447,56393,54684,49542
2019-03-20,128032,64088,150283,63023,154076,54796,118686,67401,99861,53828,56045,95837,223337,131658,128570,135493,21602,54154,164098,37048,84212,56079,91646,73590,44950,38558,40804,33489,35329,45701,27804,56295,114944,62300,27293,25792,53837,104338,152483,73190,53893,55019,49110
2019-03-21,129925,66379,150741,63699,156323,56061,120470,68789,104165,55066,54337,96990,226295,129213,130306,137278,21106,56012,171123,38611,88960,56335,97610,75656,44692,38100,41559,33828,35086,49174,28456,56061,117184,62162,27488,25790,54182,107793,164995,76541,55709,55785,49734
