date,개화,김포공항,공항시장,신방화,마곡나루,양천향교,가양,증미,등촌,염창,신목동,선유도,당산,국회의사당,여의도,샛강,노량진,노들,흑석,동작,구반포,신반포,고속터미널,사평,신논현,언주,선정릉,삼성중앙,봉은사,종합운동장,삼전,석촌고분,석촌,송파나루,한성백제,올림픽공원,둔촌오륜,중앙보훈병원
2019-02-25,13550,22771,6962,15990,20919,19334,46110,17066,24322,37428,8655,16362,41667,42188,52514,12540,63918,9362,21944,3511,7061,6388,35443,6745,73206,21276,20378,13952,35624,9661,10823,9593,11045,7261,3873,8815,1468,14458
2019-02-26,13536,23113,6931,16066,22177,20213,47910,16917,24577,38360,8885,16577,43594,39969,54310,12825,65724,9564,22492,3681,7181,6529,35975,7200,76406,21591,20699,14280,36866,9675,10808,9527,11520,7603,4126,12465,1556,15664
2019-02-27,13554,23099,6905,16338,22387,20570,47002,17011,24139,38144,9240,16439,42650,40183,54311,12337,65303,9852,21531,3591,7173,6843,37103,7233,76624,21400,21194,14337,37019,10195,11152,9829,11722,7681,4175,11797,1686,15164
2019-02-28,13696,24162,7012,16551,22605,21235,47363,16924,24511,38440,8943,16368,44659,39620,54333,13242,68924,9646,21138,3780,7547,7241,41628,7455,82545,21576,21393,14275,40063,10185,11046,10113,12069,8141,4000,13839,1977,14372
2019-03-01,7902,21947,4790,9747,15459,12924,27589,8632,13348,22620,4734,6999,24483,18427,16185,4902,53895,6385,13840,4921,4545,3659,38632,3861,48349,9169,8666,5512,25782,5938,7558,6500,7510,5620,2415,8660,999,6331
2019-03-02,7530,20031,4753,10230,15155,12816,28608,8856,13852,22634,4606,7027,25332,10164,16019,5044,53201,6226,14102,2883,4750,4033,37879,4172,54600,10431,9277,5706,28719,6407,7883,6827,7953,6164,2746,23933,943,6516
2019-03-03,5711,19382,4328,8630,10979,10096,26586,6992,10538,18730,3843,5633,20557,10901,13087,4151,40243,5692,11916,3776,3335,4057,31696,3238,35085,6725,6605,4023,20533,5227,6237,5639,6123,4609,2435,16198,1286,5691
2019-03-04,13245,20959,7016,16681,20242,20071,46302,16525,24026,37185,8748,16315,40527,36615,50153,12017,62601,9445,26583,3658,7192,6779,30210,7524,67896,19946,19668,13650,32966,9303,10888,9537,11049,7140,3730,9352,2062,14549
2019-03-05,13077,20486,6977,16864,20818,19964,46397,16413,23982,37740,8689,16600,42460,39892,51527,12324,63423,9802,26825,3623,7025,6784,29793,7350,69663,20788,19918,13879,33321,9016,10819,9655,11051,7350,3755,9896,2064,15535
2019-03-06,12949,20929,6995,16920,21508,20669,46949,16546,24077,38424,8747,16403,42822,43915,53174,12361,64065,9758,26780,3398,7119,6805,31163,7579,70450,20751,20284,14007,36814,9698,10989,9943,11213,7589,3924,10289,2172,15115
