date,대화,주엽,정발산,마두,백석,대곡,화정,원당,원흥,삼송,지축,구파발,연신내,불광,녹번,홍제,무악재,독립문,경복궁,안국,종로3가,을지로3가,동대입구,약수,금호,옥수,압구정,신사,잠원,고속터미널,교대,남부터미널,양재,매봉,도곡,대치,학여울,대청,일원,수서,가락시장,경찰병원,오금
2019-03-04,29698,23083,15774,19517,25632,3393,43871,26416,19035,35718,2715,43397,91421,43684,30591,45142,9390,17951,51053,50350,26762,25192,26625,32449,18888,22125,75497,70628,14788,102475,29808,74182,96709,27019,13746,28043,4181,23778,24324,39172,22253,18849,14859
2019-03-05,30123,22965,17161,19091,25048,3522,43225,26339,18851,36503,2678,43327,89520,44033,30540,45372,9345,18128,51497,51901,26679,25789,27799,32542,18771,22225,78613,71928,14546,99512,30491,76344,99455,27031,13577,27587,4324,23254,24257,39453,22220,18377,15332
2019-03-06,31853,22970,17795,19987,25437,3386,44993,26642,19046,36658,2826,43529,90749,44519,30592,45085,9490,18418,55550,53529,27885,27540,30571,32589,19044,22551,78258,72946,14675,102180,31006,77169,100426,27114,13378,27817,4264,23529,24230,39661,22184,18758,15232
2019-03-07,33458,23484,17873,20624,26592,3545,44846,27217,19496,37970,2774,46258,92941,45813,31794,45959,9728,18901,57857,56925,29057,26922,29170,33494,19400,23732,80083,76608,15388,109832,31856,80237,104605,27701,13904,27939,10002,23746,24922,41515,23302,19055,15467
2019-03-08,34212,24308,20780,21185,27903,3695,46743,27883,19803,38356,2890,46989,97550,46651,31774,45751,9698,20149,58817,59395,31204,28467,26700,34855,20090,24664,87115,85105,15653,138191,33121,91088,109504,28505,14271,29793,10024,24270,24969,45794,24784,18624,16084
2019-03-09,23364,18091,20008,15121,22413,2710,37364,21733,13715,30053,2445,37955,77784,40423,22464,34874,6995,20392,47427,48717,24990,15929,24711,23946,14981,19048,68662,73672,10795,154085,16503,73714,66593,14561,9102,24317,12844,14434,13121,33340,16957,10688,11226
2019-03-10,16597,11438,14780,9906,16120,2141,27984,15757,9977,21751,1533,26718,55421,28827,15416,24089,4917,13557,29627,31576,14343,9360,19959,17729,10479,13171,37079,40142,6671,121352,9761,51464,39205,9027,5298,15348,9280,10050,9329,23853,10050,7275,7420
2019-03-11,31500,23474,16998,19853,26114,3552,44638,27013,19456,37407,2727,44230,91411,44285,30823,45455,9444,17861,54665,53921,27873,26703,28912,32808,19055,22852,79168,73367,15075,106402,31442,76653,100399,27688,14047,28374,4284,24202,24488,40753,22905,18992,15419
2019-03-12,31928,23111,16992,19243,25615,3472,44104,26552,19325,36932,2830,44814,90589,44483,31114,45146,9552,18396,52907,54939,27841,26859,29306,33268,18939,22775,80848,74189,14865,104059,31564,77281,102056,27372,14072,28605,4464,23766,24849,40560,23090,19135,15253
2019-03-13,33069,23780,18404,20552,25238,3495,45384,26993,19463,38524,2986,47044,96204,49012,31920,46737,10003,19562,59453,57259,28296,27538,29653,32974,19443,23068,79781,75261,14943,105755,31833,77706,103012,27847,14141,28332,4486,23574,24525,40688,22692,18963,15230
2019-03-14,32602,23708,17379,20391,26371,3658,44900,27299,19696,37756,2849,45368,93299,44834,31483,45247,9706,19222,58825,56430,28386,26717,29243,33220,19421,23359,81061,76331,15446,111784,32399,78920,103948,27968,13884,28163,5957,23872,24941,41706,23265,19122,15463
2019-03-15,33120,24396,19679,20691,27186,3641,45349,27150,19236,37526,2816,46681,94935,45391,31884,45158,9811,19145,58492,58272,29487,28769,27119,34303,19594,24136,85850,83461,15475,139315,32879,90965,110975,28254,14678,29967,6123,24264,24704,45864,24194,19374,15442
2019-03-16,23471,18220,18825,14781,21487,2761,36695,20751,13683,29198,2388,37285,76545,38124,22125,34276,7073,19675,45722,49764,24499,15565,25363,24169,14472,18149,67761,72481,11252,156058,17117,72296,66591,15186,9326,24206,4467,14445,12851,32865,16331,10729,9937
2019-03-17,16784,12133,16022,9980,16671,2196,28960,15917,10497,22311,1739,28968,57737,29477,15771,25323,5039,14999,35764,33256,14805,10130,21744,18918,10767,14015,37161,41731,7076,124629,10289,49509,41382,10090,5854,15816,3181,10585,9628,25706,11005,7576,7635
